user_id,age,gender,occupation,daily_screen_time_hours,phone_usage_before_sleep_minutes,sleep_duration_hours,sleep_quality_score,stress_level,caffeine_intake_cups,physical_activity_minutes,notifications_received_per_day,mental_fatigue_score
1,43,Male,Teacher,1.85,103,7.07,8,7,1,70,97,1
2,57,Male,Student,2.29,68,6.72,9,5,4,27,232,3
3,58,Female,Teacher,9.52,64,6.7,6,7,2,114,99,1
4,44,Male,Designer,2.39,80,4.57,7,2,5,62,48,4
5,49,Female,Student,7.26,117,7.61,2,1,2,89,137,5
6,27,Female,Student,5.12,57,8.07,8,2,4,107,113,1
7,43,Male,Designer,5.26,6,6.86,3,4,4,12,152,3
8,34,Male,Student,6.39,14,4.36,6,5,0,25,182,3
9,36,Male,Designer,1.92,49,6.54,2,1,1,46,156,3
10,52,Male,Teacher,5.74,11,7.15,9,6,2,2,73,2
11,27,Female,Designer,9.49,88,7.51,2,7,0,19,206,8
12,40,Male,Teacher,9.27,67,8.55,5,4,1,100,57,8
13,59,Female,Business,8.23,11,8.15,1,7,4,52,43,6
14,26,Male,Designer,3.51,82,4.41,9,3,4,13,263,5
15,32,Male,Student,5.92,99,8.43,7,1,4,73,111,2
16,24,Male,Engineer,4.61,118,5.01,3,6,3,23,138,3
17,56,Female,Business,9.6,65,7.03,9,7,4,69,72,8
18,48,Female,Engineer,3.49,93,7.84,1,6,2,11,175,8
19,46,Female,Business,9.47,62,6.93,2,6,3,91,61,4
20,55,Female,Teacher,6.41,119,7.33,1,8,4,18,102,5
21,30,Male,Designer,5.28,87,6.77,2,8,1,2,157,2
22,58,Female,Designer,9.06,25,6.25,7,1,3,11,166,8
23,31,Male,Engineer,4.64,68,6.84,9,9,0,17,235,2
24,51,Female,Engineer,1.23,24,6.01,3,6,4,92,276,4
25,21,Female,Doctor,2.95,98,5.98,1,8,5,14,180,2
26,54,Female,Designer,7.82,59,8.34,5,1,5,6,21,3
27,35,Female,Teacher,3.02,45,5.06,6,8,4,56,70,5
28,41,Female,Business,2.05,101,7.47,6,6,2,57,81,9
29,59,Female,Engineer,3.57,85,5.14,1,7,3,92,99,7
30,56,Male,Business,6.69,77,5.94,6,5,5,101,240,5
31,55,Female,Engineer,6.24,34,6.06,9,7,0,63,202,5
32,56,Female,Business,6.67,83,6.13,4,9,1,5,170,2
33,49,Male,Teacher,9.9,87,6.73,6,4,0,32,169,3
34,59,Female,Doctor,1.97,25,8.15,8,9,3,16,299,8
35,46,Male,Business,5.45,90,7.52,5,8,3,37,188,5
36,50,Female,Teacher,7.67,24,8.39,2,3,2,58,256,6
37,36,Female,Engineer,7.86,91,8.64,8,7,1,46,197,4
38,34,Male,Designer,9.24,85,4.84,9,8,2,35,190,1
39,29,Female,Engineer,6.92,24,6.43,6,3,4,94,184,9
40,56,Male,Designer,2.55,100,8.42,3,8,1,114,176,6
41,33,Female,Student,5.95,19,6.2,5,4,4,22,221,8
42,32,Male,Student,5.62,76,4.65,4,5,1,36,270,8
43,55,Male,Teacher,8.4,60,8.92,7,3,2,2,287,4
44,29,Female,Engineer,4.13,91,8.4,6,9,2,79,50,8
45,22,Male,Engineer,4.32,106,4.52,5,8,0,108,262,3
46,42,Female,Student,1.12,118,7.11,2,9,4,44,49,2
47,27,Male,Designer,3.66,75,4.37,5,2,5,0,34,1
48,32,Female,Doctor,9.35,49,4.7,6,4,2,78,27,5
49,34,Female,Designer,2.47,119,8.46,3,8,1,100,274,7
50,50,Female,Designer,8.42,59,5.0,5,8,1,63,157,9
51,30,Male,Designer,1.33,19,7.79,9,6,5,47,137,3
52,46,Female,Business,1.59,36,4.82,3,4,0,58,79,5
53,48,Male,Doctor,8.32,5,5.76,4,9,2,102,164,6
54,37,Male,Student,7.76,6,9.0,3,1,4,45,73,7
55,38,Male,Teacher,5.46,80,6.4,2,4,0,109,84,8
56,24,Male,Teacher,2.01,95,7.17,2,7,5,0,54,6
57,59,Female,Student,8.87,93,5.4,8,1,4,97,239,4
58,58,Female,Designer,8.45,94,6.96,5,2,5,84,24,9
59,29,Male,Business,9.23,15,4.6,1,5,1,96,26,7
60,46,Female,Student,3.13,89,6.96,1,8,4,27,180,7
61,18,Female,Student,9.0,72,4.48,1,9,4,109,231,2
62,53,Male,Engineer,9.94,105,5.17,1,3,5,68,297,2
63,42,Male,Designer,5.42,91,7.26,6,5,0,61,141,8
64,51,Male,Business,5.18,103,8.78,5,8,1,106,104,3
65,32,Female,Engineer,4.66,109,5.0,5,1,2,50,183,9
66,47,Male,Doctor,1.07,25,5.49,1,9,1,25,28,9
67,43,Male,Student,1.55,74,4.3,6,8,2,89,205,4
68,40,Female,Business,6.16,101,5.56,6,7,2,89,118,2
69,31,Male,Teacher,6.91,37,6.07,9,4,4,66,34,5
70,41,Female,Doctor,2.35,69,5.53,9,9,3,29,58,2
71,39,Female,Business,1.06,11,4.89,6,5,5,16,272,8
72,25,Female,Designer,4.23,113,5.5,2,6,4,23,142,9
73,53,Male,Student,6.86,25,8.57,7,5,5,106,66,5
74,29,Female,Engineer,4.57,33,4.04,3,2,2,89,196,4
75,19,Female,Teacher,6.64,41,6.85,2,4,3,101,277,3
76,51,Male,Designer,5.98,93,6.35,8,8,4,1,196,4
77,58,Male,Student,8.0,62,8.43,1,8,2,7,169,5
78,40,Female,Designer,1.6,94,8.85,4,2,5,57,65,9
79,48,Female,Designer,2.08,109,5.71,3,3,1,99,220,9
80,48,Female,Teacher,8.55,70,6.32,2,1,5,108,284,1
81,18,Female,Doctor,2.98,99,4.3,4,4,0,50,44,5
